% of Total for Sum of Barcodes (by Column),,,Day of Target Delivery Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step Type Bucket,Step Type Order,Facility or Route,2026-04-23,2026-04-22,2026-04-21,2026-04-20,2026-04-19,2026-04-18,2026-04-17,2026-04-16,2026-04-15,2026-04-14,2026-04-13,2026-04-12,2026-04-11,2026-04-10,2026-04-09,2026-04-08,2026-04-07,2026-04-06,2026-04-05,2026-04-04,2026-04-03,2026-04-02,2026-04-01,2026-03-31,2026-03-30,2026-03-29,2026-03-28,2026-03-27,2026-03-26,2026-03-25,2026-03-24,2026-03-23,2026-03-22,2026-03-21,2026-03-20,2026-03-19,2026-03-18,2026-03-17,2026-03-16,2026-03-15,2026-03-14,2026-03-13,2026-03-12,2026-03-11,2026-03-10,2026-03-09,2026-03-08,2026-03-07,2026-03-06,2026-03-05,2026-03-04,2026-03-03,2026-03-02,2026-03-01,2026-02-28,2026-02-27,2026-02-26,2026-02-25,2026-02-24,2026-02-23,2026-02-22,2026-02-21,2026-02-20,2026-02-19,2026-02-18,2026-02-17,2026-02-16,2026-02-15,2026-02-14,2026-02-13,2026-02-12,2026-02-11,2026-02-10,2026-02-09,2026-02-08,2026-02-07,2026-02-06,2026-02-05,2026-02-04,2026-02-03,2026-02-02,2026-02-01,2026-01-31,2026-01-30,2026-01-29,2026-01-28,2026-01-27,2026-01-26,2026-01-25,2026-01-24,2026-01-23,2026-01-22,2026-01-21,2026-01-20,2026-01-19,2026-01-18,2026-01-17,2026-01-16,2026-01-15,2026-01-14,2026-01-13,2026-01-12,2026-01-11,2026-01-10,2026-01-09,2026-01-08,2026-01-07,2026-01-06,2026-01-05,2026-01-04,2026-01-03,2026-01-02,Total
0. OTD,1. On Time Delivery,On Time Delivery,0.946412,0.928465,0.905562,0.812701,0.8081,0.803542,0.859311,0.949791,0.978681,0.977838,0.927997,0.969373,0.975114,0.946921,0.964208,0.960607,0.97192,0.952064,0.964485,0.959574,0.952001,0.946964,0.948407,0.973083,0.969798,0.956197,0.95161,0.961563,0.97742,0.964685,0.975869,0.904903,0.95733,0.939928,0.878912,0.957466,0.957683,0.960966,0.981072,0.960484,0.945672,0.916917,0.979911,0.984189,0.974725,0.974554,0.951367,0.946068,0.941875,0.966732,0.856599,0.827806,0.778596,0.701516,0.677843,0.736062,0.632864,0.870608,0.984999,0.972009,0.973324,0.9109,0.975708,0.982706,0.974603,0.979732,0.984238,0.963359,0.942586,0.893562,0.975813,0.973782,0.908546,0.962262,0.913899,0.971984,0.973341,0.968175,0.973248,0.930074,0.935517,0.879109,0.961699,0.953232,0.924348,0.85148,0.960556,0.964821,0.978965,0.97283,0.964904,0.960987,0.952482,0.941152,0.96,0.951209,0.961626,0.946225,0.947766,0.96855,0.986542,0.9838,0.971156,0.980059,0.982677,0.973279,0.96077,0.94186,0.933689,0.948582,0.946721,0.982143,0.934059
1. First Mile,1.1 First Mile Arrival,AEO-KS-1 > FPK-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000023,,,,,,0.000015,0.000017,,0.000014,,0.000031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1e-6
,,AEO-PA-1 > EWR-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000014,,0.000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000017,0.000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1e-6
,,BACKCOUNTRY-VA-1 > GCO-1,,,,,,,,,,,,,,,,,,,,,,,,,,0.000016,,,,,,,,,,,0.000029,,,,,,,,,,,0.000019,,,,,,,,,0.00002,0.00003,,,,,0.000014,0.000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1e-6
,,BB-US-909 > LAX-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000011
,,BB-US-914 > EWR-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000049,,0.000015,,,,,,,,,,,,,,,,,0.000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1e-6
,,BB-US-923 > FPK-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000029,,0.000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
,,HM-IN-1 > FPK-1,,,0.000013,0.000063,,,,0.000014,0.000049,0.000027,,,,,0.000075,0.000043,,,,,,0.000013,0.000079,,0.000032,,,,,,,0.000015,,,,,,,,,,,,,0.000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4e-6
,,MACYS-PARCEL-AZ-1 > LAX-11,,,,,,,,,0.000012,0.000013,,,,,,0.000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
,,MACYS-PARCEL-OK-1 > DTX-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000026,0.000014,0.000035,,,0.000031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1e-6
