,,Week Starting Monday of Hub Date / Day of Hub Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-04-20,,,,,,,2026-04-13,,,,,,,2026-04-06,,,,,,,2026-03-30,,,,,,,2026-03-23,,Total
Hub Name,,2026-04-20,2026-04-21,2026-04-22,2026-04-23,2026-04-24,2026-04-25,2026-04-26,2026-04-13,2026-04-14,2026-04-15,2026-04-16,2026-04-17,2026-04-18,2026-04-19,2026-04-06,2026-04-07,2026-04-08,2026-04-09,2026-04-10,2026-04-11,2026-04-12,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05,2026-03-28,2026-03-29,
ATL-13,Forecast,14439,15124,14620,11026,10642,10746,12071,13538,14101,13546,11391,11666,12227,13527,14893,15596,14859,12496,10987,11166,12763,14436,14651,13885,12128,11291,11844,14050,13870,13933,391512
,First Scanned to Hub,12015,13097,11758,12165,12753,12820,11660,10213,11819,11360,9960,12059,11252,10493,10012,11423,10982,8883,10170,10340,10175,12245,12839,8508,12450,10065,11758,8923,11748,10738,334683
,Parcel Rollover 5pm Cutoff,231,138,449,132,234,164,265,253,103,367,271,124,48,203,393,216,158,367,223,132,248,588,526,514,396,210,188,151,184,499,7975
,Parcel Rollover,656,716,893,795,964,846,871,627,611,876,818,724,737,728,737,614,703,700,637,668,649,1068,1601,2751,550,838,631,847,1353,1129,26338
,Actual Net Forecast,-2424,-2027,-2862,1139,2111,2074,-411,-3325,-2282,-2186,-1431,393,-975,-3034,-4881,-4173,-3877,-3613,-817,-826,-2588,-2191,-1812,-5377,322,-1226,-86,-5127,-2122,-3195,-56829
,Actual Relative Diff From Forecast,-0.167879,-0.134025,-0.195759,0.103301,0.198365,0.193002,-0.034049,-0.245605,-0.161832,-0.161376,-0.125625,0.033688,-0.079742,-0.224292,-0.327738,-0.267569,-0.260919,-0.289133,-0.074361,-0.073975,-0.202774,-0.151773,-0.123678,-0.387252,0.02655,-0.108582,-0.007261,-0.364911,-0.152992,-0.229312,-0.145153
DTX-1,Forecast,16971,17800,16756,16102,15396,16057,17740,17635,18324,17372,15158,14518,15061,16960,18198,18934,17918,16269,15888,16386,18061,17230,17603,16647,16010,15407,16444,18236,18764,19060,508905
,First Scanned to Hub,5147,6328,5703,6421,5786,6089,5406,9053,6887,6304,5879,5805,3658,7222,5878,5591,6113,5994,5648,5216,2541,5435,6501,7132,6613,5935,4522,4672,5055,5927,174461
,Parcel Rollover 5pm Cutoff,39,18,3,6,6,4,2,51,21,22,23,20,27,33,78,31,27,16,32,35,46,53,221,25,19,13,22,28,32,78,1031
,Parcel Rollover,43,32,22,31,22,18,24,86,61,35,53,35,51,52,1026,38,40,34,49,58,58,59,1184,42,37,41,42,46,46,1071,4436
,Actual Net Forecast,-11824,-11472,-11053,-9681,-9610,-9968,-12334,-8582,-11437,-11068,-9279,-8713,-11403,-9738,-12320,-13343,-11805,-10275,-10240,-11170,-15520,-11795,-11102,-9515,-9397,-9472,-11922,-13564,-13709,-13133,-334444
,Actual Relative Diff From Forecast,-0.696718,-0.644494,-0.659644,-0.60123,-0.624188,-0.620788,-0.695265,-0.486646,-0.624154,-0.637117,-0.612152,-0.600152,-0.757121,-0.574175,-0.676997,-0.704711,-0.658835,-0.631569,-0.644512,-0.681679,-0.85931,-0.684562,-0.630688,-0.571574,-0.586946,-0.614785,-0.725006,-0.743803,-0.730601,-0.689035,-0.657184
EWR-2,Forecast,9730,10464,9817,7234,6053,5460,6654,12362,13127,12154,7050,6047,5757,7426,12933,13847,12749,8639,7580,7653,9892,11808,12731,11730,8304,7287,7207,10278,7226,9607,278806
,First Scanned to Hub,41586,43365,37228,20587,39643,30640,31517,31036,38085,31216,21840,26638,31169,23280,33482,32651,31720,29378,27492,28008,29062,35738,32265,37675,30202,31015,18990,27642,26882,26852,926884
,Parcel Rollover 5pm Cutoff,559,6737,4842,3275,534,14432,1198,427,1137,1287,6073,1368,1506,1205,925,1174,2163,505,1829,326,403,2784,753,1716,3565,4207,819,609,3546,2360,72264
,Parcel Rollover,715,14188,9872,5618,830,24946,2448,435,1476,2104,10554,3046,2582,2028,1084,2019,4340,802,2542,401,436,4221,1443,2882,7003,9219,1176,586,5157,3858,128011
,Actual Net Forecast,31856,32901,27411,13353,33590,25180,24863,18674,24958,19062,14790,20591,25412,15854,20549,18804,18971,20739,19912,20355,19170,23930,19534,25945,21898,23728,11783,17364,19656,17245,648078
,Actual Relative Diff From Forecast,3.273998,3.144209,2.792197,1.845867,5.549314,4.611722,3.736549,1.510597,1.901272,1.568373,2.097872,3.40516,4.414105,2.134931,1.588881,1.357984,1.488038,2.400625,2.626913,2.659741,1.93793,2.026592,1.534365,2.21185,2.637042,3.25621,1.634938,1.689434,2.720177,1.795045,2.324477
FPK-1,Forecast,28653,28350,26412,23869,22866,23276,24750,28716,28955,26744,22491,21528,22592,24718,29381,29608,27376,24238,22848,23619,28143,28776,27727,25351,23551,23422,22218,25472,23473,25907,765030
,First Scanned to Hub,25658,19940,0,0,1,1,1,24286,21800,19358,23134,21116,16963,21868,23460,22930,23937,20451,18985,21754,17952,21359,23797,20822,20219,19007,20780,20426,19886,20174,530065
,Parcel Rollover 5pm Cutoff,774,708,1346,47,7,3,0,917,1062,1003,922,1160,852,419,552,1094,1244,1268,950,399,615,653,434,1308,1116,821,1157,992,756,617,23196
,Parcel Rollover,3171,3835,4214,47,7,3,0,2633,3516,3335,2939,3552,2867,2580,2660,3459,3317,2909,2908,2369,2881,2852,3061,3125,2802,3258,2416,4049,2554,2621,79940
,Actual Net Forecast,-2995,-8410,-26412,-23869,-22865,-23275,-24749,-4430,-7155,-7386,643,-412,-5629,-2850,-5921,-6678,-3439,-3787,-3863,-1865,-10191,-7417,-3930,-4529,-3332,-4415,-1438,-5046,-3587,-5733,-234965
,Actual Relative Diff From Forecast,-0.104527,-0.296649,-1.0,-1.0,-0.999956,-0.999957,-0.99996,-0.154269,-0.247108,-0.276174,0.028589,-0.019138,-0.249159,-0.115301,-0.201525,-0.225547,-0.125621,-0.156242,-0.169074,-0.078962,-0.362115,-0.25775,-0.141739,-0.178652,-0.14148,-0.188498,-0.064722,-0.1981,-0.152814,-0.221292,-0.307132
GCO-1,Forecast,3540,4150,3878,3578,3457,3212,3351,3648,4263,4019,3238,2676,2543,2629,5845,5483,5979,3544,2904,2707,2765,3593,3889,4008,3225,2738,4409,4574,2760,2659,109264
,First Scanned to Hub,16488,12439,16582,13654,14129,14393,10364,19260,14761,13730,13020,12288,12799,10023,14143,12066,9501,12306,10515,12223,9929,14961,16534,14197,10074,6373,10490,5832,11877,9418,374369
,Parcel Rollover 5pm Cutoff,89,131,88,112,235,190,172,77,131,93,86,78,63,126,105,158,159,83,352,65,102,56,95,380,74,106,86,127,100,92,3811
,Parcel Rollover,209,326,236,279,376,320,307,217,348,234,254,266,261,235,182,326,253,172,818,192,198,188,303,2767,243,217,180,259,232,199,10597
,Actual Net Forecast,12948,8289,12704,10076,10672,11181,7013,15612,10498,9711,9782,9612,10256,7394,8298,6583,3522,8762,7611,9516,7164,11368,12645,10189,6849,3635,6081,1258,9117,6759,265105
,Actual Relative Diff From Forecast,3.657627,1.997349,3.275915,2.816098,3.08707,3.481009,2.092808,4.279605,2.462585,2.416273,3.021001,3.591928,4.033032,2.812476,1.419675,1.20062,0.589062,2.472348,2.620868,3.515331,2.590958,3.16393,3.251479,2.542166,2.123721,1.327611,1.379224,0.275033,3.303261,2.541933,2.426279
LAX-11,Forecast,7456,8554,6955,8416,7301,7143,6874,7928,8752,7266,7696,7023,6906,6343,8096,9014,7402,8801,7845,7701,7028,9445,8651,6733,8852,7810,7194,6819,8177,8770,232951
,First Scanned to Hub,12245,12902,9590,11132,10445,12126,10981,11902,12353,8554,15582,10828,9465,9211,11167,9592,6481,9854,11614,9194,9856,12248,10706,8527,8016,9122,7888,6811,10398,9172,307962
,Parcel Rollover 5pm Cutoff,39,28,56,24,15,1,19,38,54,38,39,74,32,40,109,115,23,21,14,25,29,66,178,181,183,79,77,114,74,74,1859
,Parcel Rollover,50,89,1608,35,3562,2366,2509,58,56,636,47,2147,53,54,109,124,28,47,34,1449,45,149,228,192,187,86,150,113,85,90,16386
,Actual Net Forecast,4789,4348,2635,2716,3144,4983,4107,3974,3601,1288,7886,3805,2559,2868,3071,578,-921,1053,3769,1493,2828,2803,2055,1794,-836,1312,694,-8,2221,402,75011
,Actual Relative Diff From Forecast,0.642302,0.5083,0.378864,0.322719,0.430626,0.697606,0.597469,0.501261,0.411449,0.177264,1.024688,0.541791,0.370547,0.452152,0.379323,0.064122,-0.124426,0.119645,0.480433,0.193871,0.40239,0.296771,0.237545,0.266449,-0.094442,0.16799,0.096469,-0.001173,0.271616,0.045838,0.322003
LAX-12,Forecast,4008,5255,4602,4832,4211,4200,3564,3739,4877,4327,4741,4145,4085,3319,3786,4887,4376,4539,3977,3889,4107,3768,4877,4391,4434,3924,3616,3098,3865,3322,124761
,First Scanned to Hub,3111,3086,5442,3882,5023,4198,3189,3588,3903,3110,3302,4533,2646,2976,4577,3931,3993,4339,3827,3800,2719,3690,5558,3309,4393,3561,4309,1473,3797,3347,112612
,Parcel Rollover 5pm Cutoff,62,24,58,345,164,5,78,146,209,151,237,268,261,113,28,202,255,173,264,396,114,96,105,148,200,111,334,117,193,232,5089
,Parcel Rollover,676,453,462,1077,646,862,743,481,628,974,540,586,725,346,223,968,1245,935,904,1024,597,482,1052,820,897,693,1192,763,553,655,22202
,Actual Net Forecast,-897,-2169,840,-950,812,-2,-375,-151,-974,-1217,-1439,388,-1439,-343,791,-956,-383,-200,-150,-89,-1388,-78,681,-1082,-41,-363,693,-1625,-68,25,-12149
,Actual Relative Diff From Forecast,-0.223802,-0.41275,0.182529,-0.196606,0.192828,-0.000476,-0.105219,-0.040385,-0.199713,-0.281257,-0.303522,0.093607,-0.352264,-0.103344,0.208928,-0.195621,-0.087523,-0.044063,-0.037717,-0.022885,-0.33796,-0.020701,0.139635,-0.246413,-0.009247,-0.092508,0.191648,-0.524532,-0.017594,0.007526,-0.097378
MNY-1,Forecast,26698,29891,27207,26972,24879,24032,27049,25208,28130,25882,24716,23204,22617,26731,27866,31297,27907,25849,23501,22793,23940,24910,27290,24384,25384,24956,23617,25299,23514,23813,769536
,First Scanned to Hub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Parcel Rollover 5pm Cutoff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Parcel Rollover,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Actual Net Forecast,-26698,-29891,-27207,-26972,-24879,-24032,-27049,-25208,-28130,-25882,-24716,-23204,-22617,-26731,-27866,-31297,-27907,-25849,-23501,-22793,-23940,-24910,-27290,-24384,-25384,-24956,-23617,-25299,-23514,-23813,-769536
